Module,Priority,Edge Case ID,Scenario,Expected Behavior,Status
Profile/Menu,P0,EC-132,"A detail route is opened by deep link with no navigation history behind it","Every back control resolves to an explicit fallback route so the user can never be stranded on a screen with no exit.",Implemented
Referral,P0,EC-095,"A native capture module is absent from the runtime client","Import the native module lazily inside the handler so a missing module fails locally and degrades to a text share. A module-scope import takes the entire navigator down.",Implemented
Time Machine,P0,EC-162,"Demo time travel and streak simulation controls are reachable in a production build","Strip all demo controls, the dev menu and the day-offset API from release builds. Left in, they allow any user to fabricate a streak and claim milestone rewards.",Pending
Time Machine,P0,EC-163,"A projected figure is presented without a returns disclaimer","Every surface that renders a forward-looking number must carry the illustrative-only disclaimer and name the assumed rate. Block release on any projection surface missing it.",Implemented
Money Engine,P0,EC-164,"Marketing copy states 15 percent per annum without qualification","Every rate reference must carry the terms-and-conditions marker and be reviewed by compliance before release.",Implemented
"## CORE FUNCTIONALITY — P1 — required for the product to work as designed",,,,,
Wealth Streak,P1,EC-011,"Contributions are made at 23:59 and again at 00:01","Resolve both against a local calendar day index so they count as two distinct days.",Verified
Wealth Streak,P1,EC-012,"User changes device timezone between contributions","Apply the local UTC offset before flooring to a day index so the boundary lands on local midnight rather than 05:30 IST.",Verified
Wealth Streak,P1,EC-013,"Device clock moves backwards through a manual change or westward travel","Treat a today value at or before the last contribution day as no elapsed time. Never break or penalise the streak.",Verified
Wealth Streak,P1,EC-014,"A negative day index arises from time travel or an edited store","Normalise the negative modulo before rotating so the weekday index always resolves within zero to six.",Verified
Wealth Streak,P1,EC-015,"App is left foregrounded across local midnight","Re-read the session on refresh or foreground so the day rolls over and the daily action becomes available again.",Implemented
Wealth Streak,P1,EC-016,"Streak lapses while the app is closed","Reconcile the streak during session boot and emit a single streak-broken event so the user sees the outcome on first paint.",Verified
Wealth Streak,P1,EC-018,"Invest button is double-tapped","Treat the calendar day as the unit of record. Accept the contribution amount but prevent a duplicate streak increment.",Verified
Wealth Streak,P1,EC-019,"Two separate contributions are made on the same calendar day","Record both amounts against the ledger while holding the streak count at one increment for that day.",Verified
Wealth Streak,P1,EC-020,"One day is missed while a shield is held","Consume exactly one shield and preserve the existing streak count. Notify the user that a shield was spent.",Verified
Wealth Streak,P1,EC-021,"More days are missed than shields held","Reset the current count to zero, consume all held shields, and preserve the longest-run record.",Verified
Wealth Streak,P1,EC-022,"Unbroken run continues past the shield cap","Cap holdings at two shields. Additional weekly grants are not accumulated.",Verified
Wealth Streak,P1,EC-023,"Streak breaks and is rebuilt back through a milestone already celebrated","Read from the reached-milestone history so a celebration and its reward fire exactly once per milestone per account.",Verified
Wealth Streak,P1,EC-024,"Streak is rebuilt past a milestone it never actually crossed","Derive the active reward from history rather than the current count so the uncrossed milestone remains owed rather than silently skipped.",Verified
Wealth Streak,P1,EC-025,"A milestone reward is earned and the streak subsequently breaks","Hold the reward at claimed permanently. An earned reward must never revert to locked.",Verified
Wealth Streak,P1,EC-031,"Contribution write fails after a completed hold","Hold the charge indicator through the write, then drain it and surface an inline retry. The empty indicator is the signal that nothing was committed.",Implemented
Wealth Streak,P1,EC-165,"Device clock is set forward several days to farm additional contribution days","Derive the current day from a server timestamp rather than the device clock, and reject contributions dated ahead of server time.",Pending
Wealth Streak,P1,EC-166,"A contribution day falls on 29 February","Day indices are derived from elapsed epoch days, so a leap day is a normal day with no special handling. Cover with a fixed-date regression test.",Implemented
Wealth Streak,P1,EC-167,"A user in a DST-observing region crosses a 23-hour or 25-hour day","Compute the offset from the date being evaluated rather than a cached offset so a shortened or lengthened day still yields exactly one day index step.",Implemented
Wealth Streak,P1,EC-168,"Two completion events are emitted for a single contribution","Deduplicate one-shot events by contribution identity and surface at most one event per mutation, with milestone outranking lesser acknowledgements.",Implemented
Wealth Streak,P1,EC-169,"A user attempts the daily contribution while offline","Queue the contribution locally with an idempotency key and submit on reconnect so the streak is preserved. Today only the SIP commit path supports queueing.",Pending
Wealth Streak,P1,EC-170,"Clock jumps forward by many days at once","Consume shields for each covered day in a single reconciliation pass and report the total spent, rather than looping the user through repeated notices.",Implemented
Wealth Streak,P1,EC-171,"A shield is earned and a milestone is crossed on the same contribution","Persist both outcomes to state and surface only the milestone. The shield count must still increment.",Implemented
Onboarding,P1,EC-001,"App launches for the first time with no persisted state","Boot into the initial state and route to the phone step. An empty store is a valid first-run condition and must not be treated as an error.",Implemented
Onboarding,P1,EC-074,"Phone number is entered with fewer or more than ten digits","Cap input at ten digits at the source and re-validate on submit with a distinct message per failure case.",Verified
Onboarding,P1,EC-075,"Phone number does not begin with 6, 7, 8 or 9","Reject before dispatch with a message naming the valid leading digits rather than failing after an OTP that never arrives.",Verified
Onboarding,P1,EC-076,"A repeated-digit placeholder number is submitted","Reject as an implausible number. This is the most common junk input.",Verified
Onboarding,P1,EC-077,"A number is pasted with spaces or a country-code prefix","Strip all non-digit characters before validating and storing.",Verified
Onboarding,P1,EC-079,"An incorrect verification code is submitted","Reject with a non-retryable validation error and retain the entered digits for correction.",Verified
Onboarding,P1,EC-080,"A digit is edited and the code re-completes while a submit is in flight","Guard against concurrent submits so verification is attempted exactly once per completed code.",Implemented
Onboarding,P1,EC-084,"A name is entered in Devanagari, Tamil or another Indic script","Accept letters together with combining marks so scripts that build vowels from marks are not rejected.",Verified
Onboarding,P1,EC-085,"A name contains digits or unsupported symbols","Reject with a letters-only message while permitting apostrophes, hyphens, periods and spaces.",Verified
Onboarding,P1,EC-087,"An age below 18 or above 100 is submitted","Reject at both the field and the API boundary. 18 is the regulatory floor for investing.",Verified
Onboarding,P1,EC-089,"An unrecognised gender value reaches the profile write","Validate at the API boundary rather than trusting the client, since the value selects character artwork consumed by every later screen.",Implemented
Onboarding,P1,EC-090,"Sign-up is abandoned mid-flow and the app is relaunched","Persist the reached step and resume at exactly that screen so a verified number is never re-collected.",Implemented
Onboarding,P1,EC-091,"The story chapter is entered before a profile exists","Reject the purpose write with a validation error directing the user to complete their profile.",Implemented
Onboarding,P1,EC-092,"Back is pressed part way through the story chapter","Rewind one narrative beat per press and hand control to the navigator only at the first line. Hardware back and the on-screen control must invoke the same handler.",Implemented
Onboarding,P1,EC-093,"Back is pressed on the home screen immediately after onboarding completes","Dismiss the onboarding stack on completion so back exits the app rather than replaying sign-up.",Implemented
Onboarding,P1,EC-118,"A remote font fails to load at launch","Boot on system faces after a bounded wait. Never block app start on typography.",Implemented
Storage,P1,EC-005,"A pre-referral payload is upgraded and the accepted count is absent","Backfill the count to zero during migration so the reward ladder never performs arithmetic on an undefined value.",Implemented
Storage,P1,EC-010,"App is terminated mid-commit and relaunched","Persist only user choices and the queued commit. Always re-derive transient status so no screen resumes claiming a write is in flight.",Implemented
Network,P1,EC-061,"Simulated latency exceeds the request deadline","Reject as a timeout after the deadline elapses rather than waiting indefinitely.",Tested
Network,P1,EC-062,"A retry is attempted on an error that can never succeed","Mark validation, limit, storage, not-found and cancelled errors as non-retryable and suppress the retry affordance for them.",Implemented
Network,P1,EC-063,"A request is aborted because the user navigates away","Reject the pending delay immediately on abort with a cancelled error and detach the listener.",Implemented
Network,P1,EC-064,"Requests fail repeatedly on a flaky connection","Back off exponentially with a hard cap so the interface never appears hung.",Implemented
Network,P1,EC-066,"Time Machine loads with no network","Enter a queued-offline state that retains the last successfully fetched data and keeps on-device scrubbing fully functional.",Tested
Network,P1,EC-067,"Connection is lost during a SIP commit","Persist the commit with its idempotency key, present a queued card naming the saved time, and submit automatically on reconnect.",Tested
Network,P1,EC-069,"The queue is drained while still offline","Leave the queued item intact and re-attempt on the next successful load. Never send twice and never discard.",Implemented
Network,P1,EC-072,"Load is invoked again while a load is already in flight","Return early so concurrent loads cannot interleave and produce inconsistent state.",Implemented
Network,P1,EC-073,"User navigates back into the Time Machine from the success screen","Acknowledge the success on unmount so the machine returns to ready rather than resuming a completed commit state.",Implemented
Network,P1,EC-172,"Cached portfolio data is served while stale","Display the last-synced time whenever data is older than the refresh interval and dim forward-looking figures so cached values are never mistaken for live ones.",Implemented
Network,P1,EC-173,"A second SIP change is committed while one is already queued","The queue holds a single commit today, so a second overwrites the first. Replace with an ordered queue keyed by idempotency key before launch.",Pending
Network,P1,EC-174,"Airplane mode is toggled at the moment a commit is dispatched","Resolve to exactly one terminal state — committed or queued — and never both. The user must see a single unambiguous outcome.",Implemented
Time Machine,P1,EC-050,"Skip-months lever exceeds the whole projection horizon","Halt all future contributions while continuing to compound existing capital.",Verified
Time Machine,P1,EC-051,"SIP delta would drive the daily contribution below zero","Clamp the daily contribution at zero. A negative contribution would invert the invested total.",Verified
Time Machine,P1,EC-053,"Start year equals end year","Return a single point equal to the present balance rather than an empty series.",Verified
Time Machine,P1,EC-056,"A year outside the series range is requested","Clamp to the first or last point rather than extrapolating beyond the modelled horizon.",Verified
Time Machine,P1,EC-059,"A lever intended to help produces a worse outcome after an engine change","Assert directionality in the suite: helpful levers must raise the final value and harmful levers must lower it.",Verified
Time Machine,P1,EC-060,"A daily contribution stream is compounded annually","Compound monthly and emit yearly points so contributions are not treated as arriving at year end.",Verified
Time Machine,P1,EC-123,"Time Machine is opened on an account with no contributions","Fall back to the seeded demonstration fixture so the feature remains reviewable, and never overwrite a real holding with fixture data.",Implemented
Time Machine,P1,EC-124,"Projected portfolio value is zero or below","Present a dedicated empty state naming the minimum daily amount rather than rendering a flat line at zero.",Implemented
Time Machine,P1,EC-070,"A SIP commit fails outright","Keep the sheet open with an explicit statement that nothing was changed. Dismissing would conceal the failure.",Tested
Time Machine,P1,EC-175,"Profile daily amount or age is edited after a projection has been viewed","Recompute the series from the edited inputs on next read and invalidate any memoised entry keyed on the previous values.",Implemented
Time Machine,P1,EC-176,"Assumed rate is changed while a lever is applied","Recompute both the base and levered curves against the new rate so the displayed delta always compares like with like.",Implemented
Regret Simulator,P1,EC-177,"Two-futures comparison is opened on an account with no invested capital","Fall back to the demonstration fixture or present the empty state. Never render two identical flat lines as a comparison.",Implemented
Regret Simulator,P1,EC-178,"The late-start comparison is read as a prediction","Label both paths as illustrative, name the assumed rate inline, and describe the delay as a modelled scenario rather than a forecast.",Implemented
Borrow,P1,EC-040,"Borrow screen is opened with nothing invested","Present an empty state explaining that borrowing is secured by the portfolio rather than a live screen quoting a zero limit.",Implemented
Borrow,P1,EC-046,"Accrued interest is read on the day a loan is taken","Floor the elapsed-day count at zero so interest begins at zero and never computes negative.",Implemented
Borrow,P1,EC-047,"Selling appears cheaper than borrowing in the comparison","Price both futures from the same engine and the same horizon so the comparison is internally consistent and reproducible.",Verified
Borrow,P1,EC-179,"Requested amount exceeds remaining capacity but capacity is above zero","Offer the maximum permitted amount as a partial borrow rather than rejecting outright, and state the shortfall explicitly.",Pending
Borrow,P1,EC-180,"Available borrowing capacity is exactly zero","Disable the action, label it as no remaining capacity, and explain what would increase it.",Implemented
Borrow,P1,EC-181,"A loan is repaid while a contribution streak is active","Repayment must not alter the streak, the contribution ledger or Future You standing. No repayment flow exists today.",Pending
Borrow,P1,EC-182,"Projections are read immediately after borrowing","Recompute the projection with the loan recorded: portfolio value is unchanged because units are not sold, and accrued interest is disclosed separately.",Implemented
Borrow,P1,EC-183,"Multiple concurrent loans are outstanding","Sum principal and accrue interest per loan against its own origination day. Aggregate loan-to-value across all outstanding principal.",Implemented
Borrow,P1,EC-184,"Portfolio value falls so that loan-to-value breaches the ceiling after the fact","Block further borrowing, disclose the breach, and define a margin policy before launch. No margin call path exists today.",Pending
Future You,P1,EC-143,"A single large deposit is made on day one","Gate every evolution stage on both consistency and capital so a stage cannot be reached by deposit alone.",Verified
Future You,P1,EC-144,"A long streak is held with negligible invested capital","Hold the stage until both the consistency and capital thresholds are cleared.",Verified
Future You,P1,EC-145,"Progress is requested for an account far ahead on one axis and behind on the other","Report the lower of the two axes and name which one is binding so the next action is unambiguous.",Verified
Future You,P1,EC-185,"A streak break or withdrawal drops the account below its current stage threshold","Define the regression policy explicitly. Recommended: retain the highest stage ever reached as a permanent record and present current standing separately, so progress is never seen to be revoked.",Pending
Future You,P1,EC-186,"Artwork is missing for a newly added expression key","Resolve every asset statically at bundle time so a missing file fails the build rather than rendering a blank frame at runtime.",Implemented
Future Feed,P1,EC-137,"Feed is rendered for an account with no invested capital","Switch copy to an invitation to start. Never report growth on an empty portfolio.",Verified
Future Feed,P1,EC-138,"Growth is read on a day the user has just contributed","Exclude the same-day deposit from booked growth. Capital moved is not money earned.",Verified
Future Feed,P1,EC-142,"Feed is rendered before a purpose has been chosen","Fall back to the default goal target so the funded percentage never divides by an undefined value.",Implemented
Future Feed,P1,EC-187,"Portfolio value exceeds the goal target","Cap the displayed funded percentage at 100, mark the goal complete, and offer the next target rather than rendering a figure above 100 percent.",Pending
Future Feed,P1,EC-188,"The user revisits the story chapter and selects a different purpose","Recompute the goal target and funded percentage immediately, and disclose that the target changed so the percentage movement is explained.",Implemented
Future Feed,P1,EC-189,"A user wants to track more than one goal","Only a single derived goal is supported. Scope multiple concurrent goals with independent targets and progress before advertising the capability.",Pending
Future Feed,P1,EC-190,"A completed goal is reopened or the target is raised","Preserve the completion record and present progress against the new target from the existing balance rather than resetting progress to zero.",Pending
Referral,P1,EC-104,"The same number is stored in different formats across sessions","Normalise to the final ten digits before deriving the code so one number always resolves to one code.",Verified
Referral,P1,EC-106,"Consecutive phone numbers sharing a prefix generate codes","Distribute codes so that at least 495 of any 500 consecutive numbers produce distinct values.",Verified
Referral,P1,EC-108,"All referral tiers have been earned","Return no next tier and hold progress at complete. Do not render a phantom further rung.",Verified
Referral,P1,EC-191,"An invite link is opened on a device without the app installed","Route to the store and preserve the code through install via deferred deep linking so attribution survives the first launch.",Pending
Referral,P1,EC-192,"An invite is redeemed after the programme window closes","Attach an explicit expiry to each issued code and reject redemption past it with a clear message to both parties.",Pending
Referral,P1,EC-193,"A referred user uninstalls or closes their account after the reward is credited","Define a clawback and qualification window — for example the reward vests after the invitee's seventh contribution — and present the pending state until it vests.",Pending
Referral,P1,EC-194,"A pending invite is cancelled by the inviter","Support revoking an outstanding invite and reflect the change in the ladder count within the same session.",Pending
Referral,P1,EC-101,"A share is initiated with no active streak","Render a distinct first-day card and caption. Never publish a zero-day claim.",Verified
Referral,P1,EC-103,"A shared card is forwarded without its caption","The image alone must carry the streak claim, the product name, the mechanism and both rates.",Verified
Accessibility,P1,EC-111,"A screen reader user reaches the year scrubber","Expose an adjustable role with minimum, maximum and current values plus increment and decrement actions. Drag must not be the only means of operation.",Implemented
Accessibility,P1,EC-195,"System font size is set to the largest accessibility setting","All monetary figures, labels and calls to action must remain fully legible without truncation or overlap at the maximum supported scale.",Pending
Accessibility,P1,EC-196,"A screen reader traverses the home screen","Announce elements in a deliberate reading order — balance, then streak, then the daily action — with the primary action reachable without traversing the carousel.",Pending
Accessibility,P1,EC-197,"Text and interface colours are measured against contrast standards","Every text and essential interface colour pair must meet at least 4.5 to 1 against its background. Tertiary text and green-on-dark require audit and remediation.",Pending
Accessibility,P1,EC-198,"A screen reader user attempts the press-and-hold contribution","Provide an equivalent single-activation path on the streak screen. A timed hold gesture cannot be performed under an assistive touch interface.",Pending
Accessibility,P1,EC-199,"A screen reader user reaches the projection chart","Provide a text alternative summarising start value, end value and the selected year. A canvas with no alternative is unreadable.",Pending
"## EXPERIENCE QUALITY — P2 — degrades the product but does not block release",,,,,
Storage,P2,EC-008,"Time Machine preference blob is corrupt","Fall back to default preferences without entering an error state. Defaults are fully usable.",Implemented
Storage,P2,EC-009,"Preference write fails during a scrub commit","Swallow the failure. The user loses a preference, not data, and the screen must remain interactive.",Implemented
Wealth Streak,P2,EC-017,"Week strip is rendered for any week including one containing a negative index","Always resolve to seven contiguous days beginning on the Monday on or before the given day, never in the future.",Verified
Wealth Streak,P2,EC-026,"Every milestone has been earned","Return no active reward and hold milestone progress at complete so the ring reads as finished.",Verified
Wealth Streak,P2,EC-029,"Screen is unmounted while a hold is in progress","Clear the haptic interval on unmount so a dismissed screen cannot continue emitting feedback.",Implemented
Wealth Streak,P2,EC-033,"A milestone is crossed from a screen other than the streak page","Mount the celebration above the navigator so it presents wherever the contribution originated.",Implemented
Wealth Streak,P2,EC-034,"Several one-shot events qualify from a single contribution","Rank milestone above shield-earned above plain acknowledgement and present exactly one.",Implemented
Wealth Streak,P2,EC-200,"Reconciliation runs more than once within a single session","Reconciliation is idempotent for a given day index, so repeated runs produce no additional shield spend or state change.",Implemented
Money Engine,P2,EC-036,"A monetary value above five digits is rendered","Apply Indian digit grouping so magnitude is read correctly, without relying on locale support that varies across runtimes.",Verified
Money Engine,P2,EC-042,"A projection is requested at a zero percent annual rate","Guard the annuity division so the result is the linear sum of contributions rather than a division by zero.",Verified
Money Engine,P2,EC-045,"A contribution made today is valued","Return the principal unchanged for a non-positive elapsed-day count.",Verified
Money Engine,P2,EC-043,"A contribution below the product minimum is posted","Reject with a validation error naming the minimum daily amount.",Implemented
Money Engine,P2,EC-044,"A daily amount outside the supported band is set","Clamp is not applied; reject with a validation error naming both bounds so the user chooses explicitly.",Implemented
Borrow,P2,EC-041,"A position sits at the maximum permitted loan-to-value","Draw the utilisation bar against the ceiling rather than against 100 percent so a maxed position reads as full.",Implemented
Time Machine,P2,EC-057,"A long scrubbing session spans many rates and lever combinations","Bound the memoisation cache and evict least-recently-inserted entries so memory cannot grow without limit.",Verified
Time Machine,P2,EC-058,"The scrubber is dragged continuously","Return the memoised series for unchanged inputs so the gesture sustains 60 frames per second.",Verified
Time Machine,P2,EC-110,"A scrub gesture is cancelled by a parent scroll view","Commit on gesture finalisation rather than on end so the committed year can never diverge from the knob position.",Implemented
Time Machine,P2,EC-130,"Data lands after the loading state","Match skeleton block geometry to the arriving layout so no content shifts on transition.",Implemented
Time Machine,P2,EC-129,"The JavaScript thread is busy during a load","Drive the skeleton pulse on the UI thread so the shimmer continues while work is in progress.",Implemented
Time Machine,P2,EC-149,"A negative day offset is supplied to the demo clock","Clamp the offset to zero and round to a whole day.",Implemented
Future You,P2,EC-027,"An account with no history has a streak of zero","Treat broken as zero current with a non-zero longest run, so a new account is never presented as having failed.",Implemented
Future You,P2,EC-120,"The two character sets ship at different native crops","Read the true aspect ratio per character set so neither is distorted by a shared frame.",Implemented
Future You,P2,EC-121,"Character artwork has no alpha channel","Paint the sampled backdrop colour behind the image and feather the outer edge into the page so no rectangle is visible.",Implemented
Future Feed,P2,EC-139,"Feed copy is generated for a zero streak","Present the streak row as starting today rather than as continuing.",Verified
Future Feed,P2,EC-140,"Emergency cover is expressed in months","State the assumed monthly expenditure wherever the figure appears so no decision rests on an undisclosed assumption.",Implemented
Future Feed,P2,EC-141,"A cohort comparison is presented to the user","Present a documented band derived from published retention curves and label it as indicative rather than fabricating a precise per-user figure.",Verified
Future Feed,P2,EC-136,"Several feed rows are opened in succession","Keep exactly one row expanded at a time so the surface remains scannable.",Implemented
Future You,P2,EC-146,"Progress is requested at the highest evolution stage","Guard the zero-width span and return complete with no binding constraint.",Verified
Referral,P2,EC-105,"An invite code is read aloud","Exclude visually ambiguous characters from the code alphabet.",Verified
Referral,P2,EC-107,"A code is requested with no stored phone number","Fall back to a deterministic seed and still return a valid six-character code.",Verified
Referral,P2,EC-109,"The invite code is tapped to copy","With no clipboard module in the dependency set, route through the share sheet and confirm the action in the label.",Implemented
Referral,P2,EC-096,"The platform share sheet is unavailable or refused","Degrade to sharing the caption as plain text rather than failing the action.",Implemented
Referral,P2,EC-097,"Photo library permission is denied","Present a plain explanation that there is nowhere to save the image. Do not re-prompt within the same session.",Implemented
Referral,P2,EC-098,"The media library module is absent from the runtime client","Fall through to the system share sheet, which includes the photo library as a destination.",Implemented
Referral,P2,EC-099,"A messaging application target is not installed","Detect the unavailable handler, state it plainly, and open the system share sheet instead.",Implemented
Referral,P2,EC-100,"The user dismisses the share sheet without sharing","Treat dismissal as a neutral outcome. Do not present an error.",Implemented
Referral,P2,EC-102,"A negative streak value reaches the export filename","Floor and round the value so the generated filename is always valid and stable per streak.",Verified
Onboarding,P2,EC-078,"A field is auto-focused and blurs before the user types","Reveal validation only after the field has been meaningfully touched so an untouched field is never marked wrong.",Implemented
Onboarding,P2,EC-083,"The resend control is activated repeatedly","Gate resend behind a 30 second countdown and clear both the entered code and any prior error on each resend.",Implemented
Onboarding,P2,EC-086,"A name longer than the supported length is pasted","Enforce the maximum at the field and reject at validation with the limit named.",Verified
Onboarding,P2,EC-088,"A full date of birth is pasted into the age field","Restrict the field to three digits so an over-long paste cannot be accepted.",Implemented
Onboarding,P2,EC-094,"The story question is presented on a short device","Cap the option list height and allow it to scroll so the character remains fully in frame.",Implemented
Onboarding,P2,EC-119,"A development reload occurs while the splash screen is being dismissed","Catch both prevention and dismissal rejections so a reload cannot take the app down.",Implemented
Profile/Menu,P2,EC-116,"The account menu is opened on a narrow device","Constrain panel width to the screen minus its gutters so no edge is clipped.",Implemented
Profile/Menu,P2,EC-133,"A menu row is selected while the dismiss animation is running","Defer the navigation until the dismissal has begun so the two transitions do not contend for the same frame.",Implemented
Time Machine,P2,EC-125,"A new consumer subscribes to the store with an inline selector","Require selectors to return a stable reference and define them at module scope so identity is preserved across renders.",Implemented
Time Machine,P2,EC-126,"A contribution is made while several screens are mounted","Scope subscriptions per state slice so an unrelated slice does not re-render.",Implemented
Time Machine,P2,EC-128,"A shared animation value is mutated by the component it was passed to","Retain ownership in the hook and pass the value read-only.",Implemented
Profile/Menu,P2,EC-127,"An accordion chevron rotation is driven during render","Drive the animation from an effect so no shared value is written during a render pass.",Implemented
Time Machine,P2,EC-131,"A card navigates to a destination that is already a mounted tab","Navigate rather than push so a duplicate instance of a mounted tab is not stacked.",Implemented
Accessibility,P2,EC-112,"The reduce motion accessibility setting is enabled","Disable auto-advancing content entirely and suppress decorative scale and spring animations.",Implemented
Accessibility,P2,EC-201,"System haptics are disabled or unsupported","Every haptic call fails softly. No interaction may depend on haptic feedback for its meaning.",Implemented
Accessibility,P2,EC-202,"A monetary value updates while a screen reader is focused on it","Announce the settled value politely once rather than announcing every interpolated frame during an animation.",Pending
Accessibility,P2,EC-203,"The web build is operated by keyboard alone","All interactive controls must be reachable and operable by keyboard with a visible focus indicator, including the scrubber and the accordions.",Pending
Network,P2,EC-204,"The user pulls to refresh repeatedly in quick succession","Coalesce concurrent refreshes into a single in-flight request and keep the previous data on screen throughout.",Implemented
